ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA	WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA	30/1319	60/8812	0.5	3.34040940106141	7.63169379144349	1.62786242221702e-10	1.21926895424055e-07	1.00413408359913e-07	ENSG00000010610/ENSG00000011600/ENSG00000028137/ENSG00000066294/ENSG00000077420/ENSG00000104894/ENSG00000104903/ENSG00000106560/ENSG00000106799/ENSG00000110324/ENSG00000110934/ENSG00000111252/ENSG00000115956/ENSG00000116701/ENSG00000123338/ENSG00000125730/ENSG00000126561/ENSG00000140749/ENSG00000155465/ENSG00000159189/ENSG00000160255/ENSG00000169413/ENSG00000169896/ENSG00000170891/ENSG00000174004/ENSG00000175538/ENSG00000178573/ENSG00000180353/ENSG00000184060/ENSG00000188641	30
WP_ADIPOGENESIS	WP_ADIPOGENESIS	48/1319	131/8812	0.366412213740458	2.4479336068847	7.00497436201948	6.25160716422014e-10	2.34122688300044e-07	1.9281272622279e-07	ENSG00000003137/ENSG00000017427/ENSG00000025434/ENSG00000026103/ENSG00000067082/ENSG00000069667/ENSG00000079435/ENSG00000081189/ENSG00000104918/ENSG00000106483/ENSG00000109819/ENSG00000113580/ENSG00000113594/ENSG00000116016/ENSG00000117318/ENSG00000118263/ENSG00000122691/ENSG00000124212/ENSG00000124253/ENSG00000125845/ENSG00000126561/ENSG00000132170/ENSG00000134324/ENSG00000136244/ENSG00000143171/ENSG00000147872/ENSG00000150907/ENSG00000152377/ENSG00000152785/ENSG00000163884/ENSG00000164330/ENSG00000166819/ENSG00000166949/ENSG00000169692/ENSG00000169884/ENSG00000173757/ENSG00000174697/ENSG00000175445/ENSG00000175745/ENSG00000181092/ENSG00000181856/ENSG00000182636/ENSG00000184557/ENSG00000185559/ENSG00000186951/ENSG00000197766/ENSG00000245848/ENSG00000266524	48
WP_FOCAL_ADHESION	WP_FOCAL_ADHESION	63/1319	199/8812	0.316582914572864	2.11503308810923	6.67489136323839	1.5002220431628e-09	3.74555436776313e-07	3.08466707822247e-07	ENSG00000000938/ENSG00000010810/ENSG00000017427/ENSG00000019991/ENSG00000065534/ENSG00000067900/ENSG00000074966/ENSG00000077157/ENSG00000077264/ENSG00000077943/ENSG00000091136/ENSG00000091409/ENSG00000101335/ENSG00000101336/ENSG00000102755/ENSG00000105971/ENSG00000105974/ENSG00000105976/ENSG00000107263/ENSG00000109339/ENSG00000110799/ENSG00000111245/ENSG00000112769/ENSG00000113296/ENSG00000113721/ENSG00000115904/ENSG00000116473/ENSG00000117020/ENSG00000120332/ENSG00000121879/ENSG00000127314/ENSG00000128052/ENSG00000128591/ENSG00000134318/ENSG00000134853/ENSG00000135424/ENSG00000135862/ENSG00000137076/ENSG00000137809/ENSG00000141968/ENSG00000144668/ENSG00000145675/ENSG00000146648/ENSG00000150093/ENSG00000150630/ENSG00000150760/ENSG00000154229/ENSG00000161638/ENSG00000165197/ENSG00000166501/ENSG00000168477/ENSG00000170962/ENSG00000171608/ENSG00000171862/ENSG00000171914/ENSG00000173511/ENSG00000182533/ENSG00000189056/ENSG00000196569/ENSG00000196924/ENSG00000197702/ENSG00000213949/ENSG00000259207	63
WP_COMPLEMENT_SYSTEM	WP_COMPLEMENT_SYSTEM	37/1319	96/8812	0.385416666666667	2.57489891331817	6.50933797179878	1.20214536182647e-08	2.25101719002007e-06	1.85383468955345e-06	ENSG00000000971/ENSG00000009724/ENSG00000011465/ENSG00000015285/ENSG00000039537/ENSG00000085265/ENSG00000091136/ENSG00000101017/ENSG00000104921/ENSG00000108622/ENSG00000110876/ENSG00000112936/ENSG00000124491/ENSG00000125730/ENSG00000125810/ENSG00000126218/ENSG00000126759/ENSG00000127241/ENSG00000135862/ENSG00000148926/ENSG00000149131/ENSG00000154229/ENSG00000155659/ENSG00000160255/ENSG00000163661/ENSG00000171860/ENSG00000171867/ENSG00000174175/ENSG00000181092/ENSG00000182326/ENSG00000184500/ENSG00000197405/ENSG00000197561/ENSG00000197766/ENSG00000203710/ENSG00000205403/ENSG00000259207	37
WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING	WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING	82/1319	302/8812	0.271523178807947	1.81399715819229	6.03905120814632	1.88467937880385e-08	2.82324970944816e-06	2.32509919153485e-06	ENSG00000017427/ENSG00000019991/ENSG00000037280/ENSG00000064300/ENSG00000077943/ENSG00000079435/ENSG00000089250/ENSG00000091136/ENSG00000091409/ENSG00000092020/ENSG00000101280/ENSG00000102678/ENSG00000102755/ENSG00000105851/ENSG00000105976/ENSG00000109819/ENSG00000110799/ENSG00000111713/ENSG00000112769/ENSG00000112964/ENSG00000113296/ENSG00000113578/ENSG00000113721/ENSG00000115904/ENSG00000116016/ENSG00000117020/ENSG00000120156/ENSG00000120332/ENSG00000121879/ENSG00000124440/ENSG00000127920/ENSG00000128052/ENSG00000132356/ENSG00000133056/ENSG00000134853/ENSG00000135424/ENSG00000135862/ENSG00000137713/ENSG00000137809/ENSG00000138685/ENSG00000139679/ENSG00000140285/ENSG00000141506/ENSG00000144668/ENSG00000145623/ENSG00000145675/ENSG00000146592/ENSG00000146648/ENSG00000147145/ENSG00000150093/ENSG00000150630/ENSG00000150907/ENSG00000154188/ENSG00000156475/ENSG00000157404/ENSG00000158571/ENSG00000159110/ENSG00000160255/ENSG00000160712/ENSG00000161638/ENSG00000161958/ENSG00000162434/ENSG00000165197/ENSG00000165699/ENSG00000168477/ENSG00000168685/ENSG00000170525/ENSG00000170962/ENSG00000171608/ENSG00000171862/ENSG00000172380/ENSG00000173511/ENSG00000181856/ENSG00000182578/ENSG00000184371/ENSG00000185291/ENSG00000186469/ENSG00000189056/ENSG00000196468/ENSG00000196569/ENSG00000198121/ENSG00000259207	82
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	20/1319	40/8812	0.5	3.34040940106141	6.22414426345278	1.88845106300289e-07	2.35741641031527e-05	1.94146021564859e-05	ENSG00000011600/ENSG00000100365/ENSG00000101336/ENSG00000105851/ENSG00000116701/ENSG00000121879/ENSG00000123338/ENSG00000141968/ENSG00000145675/ENSG00000158517/ENSG00000158869/ENSG00000159189/ENSG00000160255/ENSG00000165168/ENSG00000169896/ENSG00000171608/ENSG00000173369/ENSG00000173372/ENSG00000197943/ENSG00000254087	20
WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE	WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE	15/1319	25/8812	0.6	4.00849128127369	6.31983268198658	2.91317353067116e-07	3.11709567781814e-05	2.56709727665158e-05	ENSG00000037965/ENSG00000102935/ENSG00000108001/ENSG00000109819/ENSG00000120693/ENSG00000125845/ENSG00000130876/ENSG00000132170/ENSG00000142611/ENSG00000145287/ENSG00000173641/ENSG00000174697/ENSG00000176194/ENSG00000181092/ENSG00000245848	15
WP_WHITE_FAT_CELL_DIFFERENTIATION	WP_WHITE_FAT_CELL_DIFFERENTIATION	17/1319	32/8812	0.53125	3.54918498862775	6.06088739982791	5.1800118617182e-07	4.84978610553367e-05	3.99406177758798e-05	ENSG00000025434/ENSG00000069667/ENSG00000085276/ENSG00000102935/ENSG00000113580/ENSG00000126561/ENSG00000127528/ENSG00000132170/ENSG00000136826/ENSG00000137265/ENSG00000150907/ENSG00000152284/ENSG00000163884/ENSG00000164330/ENSG00000169884/ENSG00000173757/ENSG00000245848	17
WP_INTEGRINMEDIATED_CELL_ADHESION	WP_INTEGRINMEDIATED_CELL_ADHESION	35/1319	102/8812	0.343137254901961	2.29243782425783	5.50817589077883	8.18663138972734e-07	6.81309656767308e-05	5.61095437939207e-05	ENSG00000010810/ENSG00000067900/ENSG00000077264/ENSG00000077274/ENSG00000077943/ENSG00000079308/ENSG00000091409/ENSG00000092529/ENSG00000095637/ENSG00000102606/ENSG00000105971/ENSG00000105974/ENSG00000107263/ENSG00000109339/ENSG00000115904/ENSG00000116473/ENSG00000117020/ENSG00000127314/ENSG00000134318/ENSG00000135424/ENSG00000137076/ENSG00000137225/ENSG00000137809/ENSG00000139436/ENSG00000144668/ENSG00000149260/ENSG00000150093/ENSG00000150760/ENSG00000160255/ENSG00000161638/ENSG00000169896/ENSG00000182533/ENSG00000213949/ENSG00000250722/ENSG00000259207	35
WP_FAMILIAL_PARTIAL_LIPODYSTROPHY	WP_FAMILIAL_PARTIAL_LIPODYSTROPHY	16/1319	30/8812	0.533333333333333	3.56310336113217	5.89979828374562	1.0515853923932e-06	7.87637458902504e-05	6.48662147307803e-05	ENSG00000074416/ENSG00000079435/ENSG00000116132/ENSG00000119138/ENSG00000121879/ENSG00000127528/ENSG00000132170/ENSG00000166819/ENSG00000170323/ENSG00000173757/ENSG00000175445/ENSG00000176194/ENSG00000177666/ENSG00000186951/ENSG00000187288/ENSG00000245848	16
