ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1901342	regulation of vasculature development	107/2233	286/15223	0.374125874125874	2.55052314456703	10.9750175699513	8.47884109892973e-22	3.32455359489035e-18	2.18754100352387e-18	ENSG00000000005/ENSG00000004776/ENSG00000010327/ENSG00000010810/ENSG00000011465/ENSG00000020181/ENSG00000058668/ENSG00000066056/ENSG00000067900/ENSG00000071246/ENSG00000079337/ENSG00000092009/ENSG00000092969/ENSG00000097007/ENSG00000099250/ENSG00000101017/ENSG00000101230/ENSG00000101280/ENSG00000101445/ENSG00000102755/ENSG00000102760/ENSG00000104067/ENSG00000104332/ENSG00000105851/ENSG00000106004/ENSG00000106178/ENSG00000106799/ENSG00000106991/ENSG00000107562/ENSG00000111961/ENSG00000112531/ENSG00000112761/ENSG00000113140/ENSG00000113296/ENSG00000113578/ENSG00000114378/ENSG00000117020/ENSG00000117281/ENSG00000118503/ENSG00000120156/ENSG00000120332/ENSG00000121807/ENSG00000122691/ENSG00000122707/ENSG00000124212/ENSG00000125730/ENSG00000126016/ENSG00000126785/ENSG00000127528/ENSG00000128052/ENSG00000131477/ENSG00000132170/ENSG00000132205/ENSG00000132386/ENSG00000133710/ENSG00000134318/ENSG00000134817/ENSG00000134954/ENSG00000135218/ENSG00000136158/ENSG00000136235/ENSG00000136244/ENSG00000136634/ENSG00000136826/ENSG00000138685/ENSG00000138772/ENSG00000139567/ENSG00000142798/ENSG00000143125/ENSG00000148926/ENSG00000150093/ENSG00000150630/ENSG00000152270/ENSG00000152804/ENSG00000154229/ENSG00000154734/ENSG00000157570/ENSG00000160255/ENSG00000161638/ENSG00000162434/ENSG00000163513/ENSG00000164342/ENSG00000164619/ENSG00000165168/ENSG00000165757/ENSG00000166068/ENSG00000166501/ENSG00000167772/ENSG00000169418/ENSG00000171608/ENSG00000171819/ENSG00000171860/ENSG00000173198/ENSG00000173482/ENSG00000173511/ENSG00000174059/ENSG00000174697/ENSG00000179776/ENSG00000180871/ENSG00000183287/ENSG00000184113/ENSG00000184304/ENSG00000184481/ENSG00000197405/ENSG00000240583/ENSG00000249751/ENSG00000259207	107
GO:0045765	regulation of angiogenesis	104/2233	280/15223	0.371428571428571	2.53213486021368	10.7283456246103	6.04683986339788e-21	1.18548295521916e-17	7.80042342378327e-18	ENSG00000000005/ENSG00000004776/ENSG00000010327/ENSG00000010810/ENSG00000011465/ENSG00000020181/ENSG00000058668/ENSG00000066056/ENSG00000067900/ENSG00000071246/ENSG00000079337/ENSG00000092009/ENSG00000092969/ENSG00000097007/ENSG00000099250/ENSG00000101017/ENSG00000101230/ENSG00000101280/ENSG00000101445/ENSG00000102755/ENSG00000102760/ENSG00000104067/ENSG00000104332/ENSG00000105851/ENSG00000106004/ENSG00000106178/ENSG00000106991/ENSG00000111961/ENSG00000112531/ENSG00000112761/ENSG00000113140/ENSG00000113296/ENSG00000113578/ENSG00000114378/ENSG00000117020/ENSG00000117281/ENSG00000118503/ENSG00000120156/ENSG00000120332/ENSG00000121807/ENSG00000122691/ENSG00000122707/ENSG00000124212/ENSG00000125730/ENSG00000126016/ENSG00000126785/ENSG00000127528/ENSG00000128052/ENSG00000131477/ENSG00000132170/ENSG00000132205/ENSG00000132386/ENSG00000133710/ENSG00000134318/ENSG00000134817/ENSG00000134954/ENSG00000135218/ENSG00000136158/ENSG00000136235/ENSG00000136244/ENSG00000136634/ENSG00000136826/ENSG00000138685/ENSG00000138772/ENSG00000139567/ENSG00000142798/ENSG00000143125/ENSG00000148926/ENSG00000150093/ENSG00000150630/ENSG00000152270/ENSG00000152804/ENSG00000154229/ENSG00000154734/ENSG00000157570/ENSG00000160255/ENSG00000161638/ENSG00000162434/ENSG00000163513/ENSG00000164342/ENSG00000164619/ENSG00000165168/ENSG00000165757/ENSG00000166068/ENSG00000166501/ENSG00000167772/ENSG00000169418/ENSG00000171608/ENSG00000171860/ENSG00000173198/ENSG00000173482/ENSG00000173511/ENSG00000174059/ENSG00000174697/ENSG00000179776/ENSG00000180871/ENSG00000183287/ENSG00000184113/ENSG00000184304/ENSG00000184481/ENSG00000197405/ENSG00000240583/ENSG00000249751/ENSG00000259207	104
GO:0031589	cell-substrate adhesion	117/2233	343/15223	0.341107871720117	2.32542997366562	10.2938545353186	6.41254968442586e-20	8.38120243754461e-17	5.51479272860624e-17	ENSG00000034971/ENSG00000046653/ENSG00000047648/ENSG00000049245/ENSG00000065613/ENSG00000067900/ENSG00000071054/ENSG00000072163/ENSG00000073712/ENSG00000073849/ENSG00000077942/ENSG00000077943/ENSG00000086289/ENSG00000087303/ENSG00000087589/ENSG00000088827/ENSG00000091136/ENSG00000091409/ENSG00000091986/ENSG00000092445/ENSG00000095637/ENSG00000097007/ENSG00000099250/ENSG00000100034/ENSG00000100106/ENSG00000102606/ENSG00000103647/ENSG00000104332/ENSG00000106823/ENSG00000107104/ENSG00000109743/ENSG00000110031/ENSG00000110799/ENSG00000110880/ENSG00000111859/ENSG00000112276/ENSG00000112679/ENSG00000116962/ENSG00000119185/ENSG00000120156/ENSG00000120332/ENSG00000122592/ENSG00000127990/ENSG00000128052/ENSG00000128585/ENSG00000128652/ENSG00000129244/ENSG00000133800/ENSG00000134318/ENSG00000135218/ENSG00000135424/ENSG00000135862/ENSG00000136114/ENSG00000137076/ENSG00000137077/ENSG00000137809/ENSG00000137834/ENSG00000139220/ENSG00000139567/ENSG00000140092/ENSG00000140945/ENSG00000142871/ENSG00000143951/ENSG00000144668/ENSG00000145675/ENSG00000148400/ENSG00000149781/ENSG00000150093/ENSG00000150760/ENSG00000151422/ENSG00000151490/ENSG00000152377/ENSG00000152818/ENSG00000153071/ENSG00000153208/ENSG00000154175/ENSG00000154188/ENSG00000160255/ENSG00000161638/ENSG00000162493/ENSG00000162692/ENSG00000162804/ENSG00000162946/ENSG00000163520/ENSG00000164318/ENSG00000164741/ENSG00000164946/ENSG00000165124/ENSG00000165699/ENSG00000166086/ENSG00000166949/ENSG00000167601/ENSG00000168309/ENSG00000168477/ENSG00000168615/ENSG00000169499/ENSG00000169604/ENSG00000169756/ENSG00000169896/ENSG00000170961/ENSG00000171862/ENSG00000172638/ENSG00000173083/ENSG00000173376/ENSG00000173517/ENSG00000174059/ENSG00000174804/ENSG00000177076/ENSG00000184371/ENSG00000189058/ENSG00000196924/ENSG00000197702/ENSG00000205221/ENSG00000213949/ENSG00000243244/ENSG00000248746/ENSG00000259207	117
GO:0050900	leukocyte migration	117/2233	368/15223	0.317934782608696	2.1674523939329	9.39944922329188	3.10600348759276e-17	3.0446599187128e-14	2.00337224949733e-14	ENSG00000002586/ENSG00000010810/ENSG00000067900/ENSG00000087245/ENSG00000091409/ENSG00000091972/ENSG00000092969/ENSG00000097007/ENSG00000100448/ENSG00000100600/ENSG00000101336/ENSG00000102181/ENSG00000102755/ENSG00000105851/ENSG00000106178/ENSG00000106538/ENSG00000107099/ENSG00000107562/ENSG00000108691/ENSG00000108700/ENSG00000109743/ENSG00000110876/ENSG00000111859/ENSG00000111913/ENSG00000112175/ENSG00000113296/ENSG00000115020/ENSG00000115904/ENSG00000120129/ENSG00000121807/ENSG00000122592/ENSG00000123338/ENSG00000124343/ENSG00000125735/ENSG00000126524/ENSG00000130300/ENSG00000130830/ENSG00000133800/ENSG00000135046/ENSG00000135424/ENSG00000136141/ENSG00000136160/ENSG00000136244/ENSG00000136634/ENSG00000136999/ENSG00000137033/ENSG00000137077/ENSG00000138135/ENSG00000138379/ENSG00000141968/ENSG00000143669/ENSG00000144668/ENSG00000145147/ENSG00000145675/ENSG00000147065/ENSG00000147573/ENSG00000150093/ENSG00000150630/ENSG00000151422/ENSG00000151490/ENSG00000151491/ENSG00000154165/ENSG00000154721/ENSG00000157404/ENSG00000158869/ENSG00000160255/ENSG00000160593/ENSG00000160712/ENSG00000162692/ENSG00000163606/ENSG00000163734/ENSG00000163736/ENSG00000163823/ENSG00000165197/ENSG00000166086/ENSG00000167851/ENSG00000169313/ENSG00000169403/ENSG00000170962/ENSG00000170989/ENSG00000171049/ENSG00000171522/ENSG00000171608/ENSG00000171860/ENSG00000172349/ENSG00000173432/ENSG00000173511/ENSG00000173757/ENSG00000174059/ENSG00000174175/ENSG00000174600/ENSG00000174697/ENSG00000175040/ENSG00000177119/ENSG00000180871/ENSG00000181374/ENSG00000182578/ENSG00000182621/ENSG00000183018/ENSG00000183049/ENSG00000184371/ENSG00000189058/ENSG00000196371/ENSG00000197405/ENSG00000197471/ENSG00000197561/ENSG00000197635/ENSG00000198053/ENSG00000204472/ENSG00000213949/ENSG00000254087/ENSG00000259207/ENSG00000261371/ENSG00000271447/ENSG00000274736/ENSG00000275152/ENSG00000277632	117
GO:0060326	cell chemotaxis	98/2233	287/15223	0.341463414634146	2.32785381145348	9.41563696436592	6.45866044051311e-17	5.06488151745038e-14	3.33266878730476e-14	ENSG00000019991/ENSG00000065675/ENSG00000087245/ENSG00000092969/ENSG00000099250/ENSG00000100448/ENSG00000100600/ENSG00000102755/ENSG00000105851/ENSG00000105976/ENSG00000106178/ENSG00000106538/ENSG00000106991/ENSG00000107562/ENSG00000108691/ENSG00000108700/ENSG00000109743/ENSG00000110934/ENSG00000111859/ENSG00000111913/ENSG00000113070/ENSG00000113083/ENSG00000113296/ENSG00000113578/ENSG00000113721/ENSG00000115020/ENSG00000120129/ENSG00000121797/ENSG00000121807/ENSG00000123338/ENSG00000125735/ENSG00000126524/ENSG00000128052/ENSG00000128512/ENSG00000129048/ENSG00000130830/ENSG00000134853/ENSG00000135046/ENSG00000136160/ENSG00000136244/ENSG00000136634/ENSG00000136999/ENSG00000137077/ENSG00000138135/ENSG00000138379/ENSG00000138685/ENSG00000141968/ENSG00000143669/ENSG00000144476/ENSG00000144648/ENSG00000144668/ENSG00000145147/ENSG00000148400/ENSG00000150630/ENSG00000151490/ENSG00000157404/ENSG00000158869/ENSG00000160255/ENSG00000160593/ENSG00000160712/ENSG00000162692/ENSG00000163734/ENSG00000163736/ENSG00000163823/ENSG00000165197/ENSG00000166086/ENSG00000170962/ENSG00000170989/ENSG00000171049/ENSG00000171608/ENSG00000171860/ENSG00000172349/ENSG00000173432/ENSG00000173511/ENSG00000174600/ENSG00000177119/ENSG00000179388/ENSG00000180871/ENSG00000181374/ENSG00000182578/ENSG00000183049/ENSG00000184304/ENSG00000184371/ENSG00000196468/ENSG00000197405/ENSG00000197635/ENSG00000197702/ENSG00000198121/ENSG00000204472/ENSG00000205542/ENSG00000213949/ENSG00000254087/ENSG00000271447/ENSG00000274736/ENSG00000275152/ENSG00000275385/ENSG00000276409/ENSG00000277632	98
GO:0043542	endothelial cell migration	81/2233	218/15223	0.371559633027523	2.53302834463859	9.45226908342449	1.32050218759276e-16	8.62948179591866e-14	5.67815940664885e-14	ENSG00000011465/ENSG00000019549/ENSG00000020181/ENSG00000037280/ENSG00000048052/ENSG00000058668/ENSG00000069702/ENSG00000071246/ENSG00000081189/ENSG00000097007/ENSG00000099250/ENSG00000100600/ENSG00000101017/ENSG00000101280/ENSG00000102359/ENSG00000102760/ENSG00000105851/ENSG00000105976/ENSG00000106511/ENSG00000106799/ENSG00000109670/ENSG00000110031/ENSG00000111961/ENSG00000112293/ENSG00000113140/ENSG00000113578/ENSG00000117020/ENSG00000117707/ENSG00000118257/ENSG00000119185/ENSG00000120156/ENSG00000121879/ENSG00000125968/ENSG00000126016/ENSG00000126561/ENSG00000126785/ENSG00000128052/ENSG00000130203/ENSG00000132170/ENSG00000132386/ENSG00000133121/ENSG00000134318/ENSG00000134954/ENSG00000135046/ENSG00000136826/ENSG00000136999/ENSG00000138685/ENSG00000138722/ENSG00000138772/ENSG00000139567/ENSG00000140945/ENSG00000145147/ENSG00000148400/ENSG00000150093/ENSG00000150630/ENSG00000154188/ENSG00000154229/ENSG00000160255/ENSG00000162407/ENSG00000163430/ENSG00000164619/ENSG00000165633/ENSG00000165757/ENSG00000166068/ENSG00000168874/ENSG00000169554/ENSG00000169855/ENSG00000171608/ENSG00000173269/ENSG00000173482/ENSG00000176435/ENSG00000179388/ENSG00000179776/ENSG00000183287/ENSG00000184304/ENSG00000196468/ENSG00000197635/ENSG00000203883/ENSG00000205542/ENSG00000207744/ENSG00000259207	81
GO:0042692	muscle cell differentiation	115/2233	381/15223	0.301837270341207	2.0577110463073	8.66879951362766	3.95533588587993e-15	2.21555314407646e-12	1.4578237979386e-12	ENSG00000003137/ENSG00000003402/ENSG00000017427/ENSG00000024422/ENSG00000036448/ENSG00000048052/ENSG00000061455/ENSG00000068024/ENSG00000068650/ENSG00000069667/ENSG00000072736/ENSG00000077092/ENSG00000077943/ENSG00000081189/ENSG00000086991/ENSG00000089225/ENSG00000089250/ENSG00000091136/ENSG00000092529/ENSG00000101096/ENSG00000101335/ENSG00000101605/ENSG00000102678/ENSG00000105971/ENSG00000106991/ENSG00000107779/ENSG00000110693/ENSG00000111245/ENSG00000111913/ENSG00000112276/ENSG00000112531/ENSG00000112837/ENSG00000113083/ENSG00000113721/ENSG00000115170/ENSG00000116962/ENSG00000117707/ENSG00000120907/ENSG00000121361/ENSG00000122367/ENSG00000125735/ENSG00000125845/ENSG00000128591/ENSG00000130595/ENSG00000131018/ENSG00000131477/ENSG00000131634/ENSG00000133392/ENSG00000134072/ENSG00000134250/ENSG00000134516/ENSG00000134775/ENSG00000134817/ENSG00000134853/ENSG00000135547/ENSG00000135862/ENSG00000136160/ENSG00000136383/ENSG00000136717/ENSG00000136842/ENSG00000136999/ENSG00000141052/ENSG00000142178/ENSG00000143119/ENSG00000145362/ENSG00000148400/ENSG00000148516/ENSG00000148926/ENSG00000150093/ENSG00000150760/ENSG00000151320/ENSG00000151617/ENSG00000154330/ENSG00000154736/ENSG00000157404/ENSG00000157933/ENSG00000159200/ENSG00000159251/ENSG00000163069/ENSG00000163132/ENSG00000163431/ENSG00000163792/ENSG00000163833/ENSG00000164530/ENSG00000165410/ENSG00000165699/ENSG00000166148/ENSG00000166831/ENSG00000167244/ENSG00000168779/ENSG00000169884/ENSG00000170624/ENSG00000170776/ENSG00000172399/ENSG00000172638/ENSG00000173714/ENSG00000175183/ENSG00000182389/ENSG00000182533/ENSG00000183023/ENSG00000183160/ENSG00000184304/ENSG00000184481/ENSG00000186951/ENSG00000187955/ENSG00000187957/ENSG00000196569/ENSG00000198796/ENSG00000198947/ENSG00000204217/ENSG00000204301/ENSG00000242950/ENSG00000244476/ENSG00000248746/ENSG00000262179	115
GO:0006909	phagocytosis	78/2233	220/15223	0.354545454545455	2.41703782111306	8.77767248748741	9.72297110058218e-15	4.76547121067284e-12	3.13565817993775e-12	ENSG00000000938/ENSG00000010671/ENSG00000010810/ENSG00000011600/ENSG00000019169/ENSG00000025434/ENSG00000072694/ENSG00000076662/ENSG00000081237/ENSG00000085265/ENSG00000089041/ENSG00000092445/ENSG00000097007/ENSG00000100365/ENSG00000101307/ENSG00000101336/ENSG00000101955/ENSG00000104921/ENSG00000107560/ENSG00000108691/ENSG00000110880/ENSG00000110934/ENSG00000112335/ENSG00000115020/ENSG00000116678/ENSG00000116701/ENSG00000118004/ENSG00000121807/ENSG00000121879/ENSG00000123338/ENSG00000123384/ENSG00000125730/ENSG00000125810/ENSG00000126759/ENSG00000127472/ENSG00000132718/ENSG00000134516/ENSG00000135046/ENSG00000135218/ENSG00000136869/ENSG00000138772/ENSG00000140545/ENSG00000140968/ENSG00000141968/ENSG00000143226/ENSG00000143669/ENSG00000144366/ENSG00000145850/ENSG00000148180/ENSG00000150093/ENSG00000150760/ENSG00000153208/ENSG00000155849/ENSG00000158869/ENSG00000160255/ENSG00000163219/ENSG00000163661/ENSG00000164136/ENSG00000165029/ENSG00000167601/ENSG00000167851/ENSG00000169896/ENSG00000170458/ENSG00000171049/ENSG00000174697/ENSG00000177119/ENSG00000181092/ENSG00000183049/ENSG00000187800/ENSG00000197561/ENSG00000197943/ENSG00000198053/ENSG00000204472/ENSG00000206579/ENSG00000241399/ENSG00000254087/ENSG00000259207/ENSG00000261371	78
GO:0001935	endothelial cell proliferation	61/2233	152/15223	0.401315789473684	2.7358845782167	8.91758481732517	1.3060924176353e-14	5.69020929949781e-12	3.74413159722121e-12	ENSG00000000005/ENSG00000037280/ENSG00000064300/ENSG00000066056/ENSG00000071246/ENSG00000081189/ENSG00000099250/ENSG00000101445/ENSG00000102755/ENSG00000102760/ENSG00000105971/ENSG00000105974/ENSG00000105989/ENSG00000106178/ENSG00000106799/ENSG00000106991/ENSG00000107562/ENSG00000107798/ENSG00000108691/ENSG00000113140/ENSG00000113296/ENSG00000117020/ENSG00000117707/ENSG00000118257/ENSG00000119185/ENSG00000120156/ENSG00000126561/ENSG00000128052/ENSG00000128918/ENSG00000130203/ENSG00000132170/ENSG00000134817/ENSG00000135914/ENSG00000136634/ENSG00000138685/ENSG00000139567/ENSG00000140285/ENSG00000140945/ENSG00000142798/ENSG00000143125/ENSG00000153162/ENSG00000154229/ENSG00000163421/ENSG00000164619/ENSG00000165633/ENSG00000165757/ENSG00000167244/ENSG00000168874/ENSG00000169554/ENSG00000171608/ENSG00000172889/ENSG00000173269/ENSG00000173482/ENSG00000173511/ENSG00000174059/ENSG00000174697/ENSG00000179388/ENSG00000184304/ENSG00000204217/ENSG00000207744/ENSG00000259207	61
GO:0097529	myeloid leukocyte migration	77/2233	219/15223	0.351598173515982	2.39694536293497	8.63323563907428	2.41243848167566e-14	9.45917128665028e-12	6.22409128272321e-12	ENSG00000002586/ENSG00000087245/ENSG00000091972/ENSG00000092969/ENSG00000100448/ENSG00000100600/ENSG00000102181/ENSG00000102755/ENSG00000105851/ENSG00000106178/ENSG00000106538/ENSG00000107562/ENSG00000108691/ENSG00000108700/ENSG00000109743/ENSG00000111913/ENSG00000113296/ENSG00000115020/ENSG00000120129/ENSG00000121807/ENSG00000123338/ENSG00000124343/ENSG00000130830/ENSG00000135046/ENSG00000136160/ENSG00000136244/ENSG00000136999/ENSG00000137077/ENSG00000138379/ENSG00000141968/ENSG00000144668/ENSG00000145147/ENSG00000145675/ENSG00000147573/ENSG00000150630/ENSG00000151490/ENSG00000157404/ENSG00000158869/ENSG00000160255/ENSG00000160593/ENSG00000160712/ENSG00000163606/ENSG00000163734/ENSG00000163736/ENSG00000163823/ENSG00000165197/ENSG00000166086/ENSG00000167851/ENSG00000169313/ENSG00000170962/ENSG00000171049/ENSG00000171522/ENSG00000171608/ENSG00000171860/ENSG00000173432/ENSG00000173511/ENSG00000173757/ENSG00000174600/ENSG00000177119/ENSG00000180871/ENSG00000181374/ENSG00000182578/ENSG00000182621/ENSG00000183049/ENSG00000184371/ENSG00000196371/ENSG00000197405/ENSG00000197635/ENSG00000198053/ENSG00000204472/ENSG00000213949/ENSG00000254087/ENSG00000261371/ENSG00000271447/ENSG00000274736/ENSG00000275152/ENSG00000277632	77
