ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0098813	nuclear chromosome segregation	89/1849	307/15223	0.289902280130293	2.38679416464221	9.12701282749214	1.09053538418716e-15	4.24981639217735e-12	4.14059066396113e-12	ENSG00000011243/ENSG00000011332/ENSG00000013810/ENSG00000071539/ENSG00000076382/ENSG00000077080/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000099812/ENSG00000101057/ENSG00000101421/ENSG00000105568/ENSG00000109805/ENSG00000112742/ENSG00000114346/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121152/ENSG00000121211/ENSG00000121621/ENSG00000122952/ENSG00000126787/ENSG00000127616/ENSG00000128944/ENSG00000129810/ENSG00000130479/ENSG00000130724/ENSG00000131462/ENSG00000131747/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136492/ENSG00000136518/ENSG00000137804/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000141552/ENSG00000141696/ENSG00000142945/ENSG00000143228/ENSG00000144554/ENSG00000146670/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000156970/ENSG00000157456/ENSG00000160783/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164611/ENSG00000164934/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000175063/ENSG00000175643/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000179041/ENSG00000179051/ENSG00000180198/ENSG00000186185/ENSG00000187531/ENSG00000196074/ENSG00000198901/ENSG00000204371/ENSG00000204388/ENSG00000204389/ENSG00000204899/ENSG00000205629/ENSG00000213024/ENSG00000217442/ENSG00000237649/ENSG00000276043	89
GO:0000070	mitotic sister chromatid segregation	64/1849	191/15223	0.335078534031414	2.7587347342132	9.09457263424877	7.20665719007374e-15	1.38393227352607e-11	1.34836344032752e-11	ENSG00000011243/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000099812/ENSG00000101057/ENSG00000101421/ENSG00000105568/ENSG00000109805/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000126787/ENSG00000128944/ENSG00000130724/ENSG00000131462/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000137804/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000141552/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000175063/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000179041/ENSG00000180198/ENSG00000186185/ENSG00000198901/ENSG00000204388/ENSG00000204389/ENSG00000204899/ENSG00000205629/ENSG00000213024/ENSG00000237649/ENSG00000276043	64
GO:0000819	sister chromatid segregation	72/1849	231/15223	0.311688311688312	2.56616071867559	8.91838435607099	1.06538281256818e-14	1.38393227352607e-11	1.34836344032752e-11	ENSG00000011243/ENSG00000011332/ENSG00000013810/ENSG00000071539/ENSG00000076382/ENSG00000077080/ENSG00000079616/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000099812/ENSG00000101057/ENSG00000101421/ENSG00000105568/ENSG00000109805/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000126787/ENSG00000127616/ENSG00000128944/ENSG00000130724/ENSG00000131462/ENSG00000131747/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136518/ENSG00000137804/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000141552/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000175063/ENSG00000175643/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000179041/ENSG00000180198/ENSG00000186185/ENSG00000198901/ENSG00000204388/ENSG00000204389/ENSG00000204899/ENSG00000205629/ENSG00000213024/ENSG00000237649/ENSG00000276043	72
GO:0140014	mitotic nuclear division	76/1849	275/15223	0.276363636363636	2.27532917055902	7.9354352199397	2.0038418285953e-12	1.95224290150898e-09	1.90206775677454e-09	ENSG00000011243/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000099812/ENSG00000101057/ENSG00000101421/ENSG00000103056/ENSG00000105568/ENSG00000108106/ENSG00000109805/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000126787/ENSG00000127564/ENSG00000128944/ENSG00000130724/ENSG00000131462/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000137804/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000141552/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000149554/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000156509/ENSG00000156970/ENSG00000158402/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000167657/ENSG00000168476/ENSG00000169679/ENSG00000170312/ENSG00000175063/ENSG00000175334/ENSG00000175756/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000179041/ENSG00000180198/ENSG00000184661/ENSG00000186185/ENSG00000198901/ENSG00000204388/ENSG00000204389/ENSG00000204899/ENSG00000205629/ENSG00000213024/ENSG00000237649/ENSG00000276043	76
GO:0000075	cell cycle checkpoint signaling	54/1849	183/15223	0.295081967213115	2.42943904104124	7.23337400582207	2.29231958146016e-10	1.78663388179005e-07	1.74071510112143e-07	ENSG00000051180/ENSG00000071539/ENSG00000080986/ENSG00000085840/ENSG00000089685/ENSG00000093009/ENSG00000094804/ENSG00000100726/ENSG00000101412/ENSG00000105325/ENSG00000108465/ENSG00000110092/ENSG00000110107/ENSG00000111602/ENSG00000112742/ENSG00000116663/ENSG00000117399/ENSG00000117724/ENSG00000122952/ENSG00000134057/ENSG00000134690/ENSG00000136492/ENSG00000137331/ENSG00000139579/ENSG00000140534/ENSG00000143155/ENSG00000143228/ENSG00000143476/ENSG00000143493/ENSG00000144554/ENSG00000149554/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000154920/ENSG00000156970/ENSG00000160469/ENSG00000161888/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000171792/ENSG00000172613/ENSG00000174672/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000188486/ENSG00000197299/ENSG00000197774/ENSG00000205629	54
GO:0006334	nucleosome assembly	32/1849	81/15223	0.395061728395062	3.25258231009087	7.55797085165465	3.46186150149209e-10	2.24847904521911e-07	2.19069025190911e-07	ENSG00000073111/ENSG00000105011/ENSG00000113648/ENSG00000122390/ENSG00000156802/ENSG00000158406/ENSG00000159259/ENSG00000163041/ENSG00000164104/ENSG00000167670/ENSG00000168298/ENSG00000180596/ENSG00000184678/ENSG00000184897/ENSG00000185130/ENSG00000185420/ENSG00000187837/ENSG00000188486/ENSG00000189060/ENSG00000197238/ENSG00000197409/ENSG00000204209/ENSG00000213551/ENSG00000233822/ENSG00000270882/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276180/ENSG00000276966/ENSG00000277157/ENSG00000278828	32
GO:0051306	mitotic sister chromatid separation	28/1849	65/15223	0.430769230769231	3.54656571119524	7.65004991830533	4.0494448117626e-10	2.25438377591984e-07	2.19644322346281e-07	ENSG00000071539/ENSG00000080986/ENSG00000089685/ENSG00000105568/ENSG00000112742/ENSG00000117399/ENSG00000117724/ENSG00000122952/ENSG00000126787/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000141552/ENSG00000143228/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000169679/ENSG00000175063/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000205629	28
GO:0007088	regulation of mitotic nuclear division	40/1849	118/15223	0.338983050847458	2.79088100759916	7.26141109686414	5.48613506514647e-10	2.6707725816545e-07	2.6021303032097e-07	ENSG00000071539/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000103056/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000122952/ENSG00000126787/ENSG00000127564/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000137804/ENSG00000141552/ENSG00000143228/ENSG00000149554/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000156509/ENSG00000156970/ENSG00000158402/ENSG00000161888/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000167657/ENSG00000169679/ENSG00000175063/ENSG00000175756/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184661/ENSG00000205629/ENSG00000213024	40
GO:0010965	regulation of mitotic sister chromatid separation	27/1849	62/15223	0.435483870967742	3.58538181056892	7.58455779133162	6.16806600843996e-10	2.6707725816545e-07	2.6021303032097e-07	ENSG00000071539/ENSG00000080986/ENSG00000089685/ENSG00000112742/ENSG00000117399/ENSG00000117724/ENSG00000122952/ENSG00000126787/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000141552/ENSG00000143228/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000169679/ENSG00000175063/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000205629	27
GO:0051310	metaphase chromosome alignment	36/1849	101/15223	0.356435643564356	2.93456993076268	7.25294122595524	8.25130909478735e-10	3.21553515423863e-07	3.13289177946295e-07	ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000089685/ENSG00000101421/ENSG00000112742/ENSG00000114346/ENSG00000117650/ENSG00000117724/ENSG00000121621/ENSG00000122952/ENSG00000128944/ENSG00000129810/ENSG00000130479/ENSG00000130724/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000152253/ENSG00000154473/ENSG00000154839/ENSG00000160783/ENSG00000161800/ENSG00000161888/ENSG00000165480/ENSG00000167513/ENSG00000170312/ENSG00000178999/ENSG00000179041/ENSG00000179051/ENSG00000213024/ENSG00000237649	36
