ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
WP_WHITE_FAT_CELL_DIFFERENTIATION	WP_WHITE_FAT_CELL_DIFFERENTIATION	22/2274	32/8812	0.6875	2.6641380826737	5.56163473905851	4.14135585982356e-07	0.000336278095817673	0.000318230502912757	ENSG00000025434/ENSG00000069667/ENSG00000072310/ENSG00000085276/ENSG00000102935/ENSG00000107485/ENSG00000113580/ENSG00000126456/ENSG00000126561/ENSG00000127528/ENSG00000131759/ENSG00000132170/ENSG00000136826/ENSG00000137265/ENSG00000140332/ENSG00000150907/ENSG00000152284/ENSG00000163884/ENSG00000164330/ENSG00000169884/ENSG00000173757/ENSG00000245848	22
WP_FAMILIAL_PARTIAL_LIPODYSTROPHY	WP_FAMILIAL_PARTIAL_LIPODYSTROPHY	20/2274	30/8812	0.666666666666667	2.58340662562298	5.12320508770265	2.976284954798e-06	0.00120837169164799	0.00114352000894871	ENSG00000072310/ENSG00000074416/ENSG00000079435/ENSG00000107485/ENSG00000113368/ENSG00000116132/ENSG00000119138/ENSG00000121879/ENSG00000127528/ENSG00000132170/ENSG00000166819/ENSG00000170323/ENSG00000173757/ENSG00000175334/ENSG00000175445/ENSG00000176194/ENSG00000177666/ENSG00000186951/ENSG00000187288/ENSG00000245848	20
WP_COMPLEMENT_SYSTEM	WP_COMPLEMENT_SYSTEM	45/2274	96/8812	0.46875	1.81645778364116	4.7434694962463	6.25870690178365e-06	0.00169402333474944	0.00160310738186037	ENSG00000000971/ENSG00000009724/ENSG00000011465/ENSG00000015285/ENSG00000029559/ENSG00000039537/ENSG00000085265/ENSG00000091136/ENSG00000101017/ENSG00000104921/ENSG00000108561/ENSG00000108622/ENSG00000109072/ENSG00000110876/ENSG00000112936/ENSG00000124491/ENSG00000125730/ENSG00000125810/ENSG00000126218/ENSG00000126759/ENSG00000127241/ENSG00000131187/ENSG00000135862/ENSG00000148926/ENSG00000149131/ENSG00000154229/ENSG00000155659/ENSG00000160255/ENSG00000163661/ENSG00000171860/ENSG00000171867/ENSG00000173486/ENSG00000174175/ENSG00000179218/ENSG00000181092/ENSG00000182326/ENSG00000184500/ENSG00000197405/ENSG00000197561/ENSG00000197766/ENSG00000203710/ENSG00000205403/ENSG00000243649/ENSG00000244731/ENSG00000259207	45
WP_FOCAL_ADHESION	WP_FOCAL_ADHESION	79/2274	199/8812	0.396984924623116	1.5383602268157	4.53009859929146	9.9528650286648e-06	0.00202043160081895	0.00191199775550666	ENSG00000000938/ENSG00000002330/ENSG00000010810/ENSG00000017427/ENSG00000019991/ENSG00000029559/ENSG00000065534/ENSG00000067900/ENSG00000074966/ENSG00000077157/ENSG00000077264/ENSG00000077943/ENSG00000091136/ENSG00000091409/ENSG00000101213/ENSG00000101335/ENSG00000101336/ENSG00000102755/ENSG00000105647/ENSG00000105971/ENSG00000105974/ENSG00000105976/ENSG00000107263/ENSG00000109072/ENSG00000109339/ENSG00000110092/ENSG00000110799/ENSG00000111245/ENSG00000112769/ENSG00000113296/ENSG00000113721/ENSG00000115904/ENSG00000116147/ENSG00000116473/ENSG00000117020/ENSG00000120332/ENSG00000121879/ENSG00000125508/ENSG00000127314/ENSG00000128052/ENSG00000128591/ENSG00000130669/ENSG00000134215/ENSG00000134318/ENSG00000134853/ENSG00000135424/ENSG00000135862/ENSG00000137076/ENSG00000137809/ENSG00000141968/ENSG00000144668/ENSG00000145675/ENSG00000146648/ENSG00000150093/ENSG00000150630/ENSG00000150760/ENSG00000154229/ENSG00000161638/ENSG00000165197/ENSG00000166501/ENSG00000168477/ENSG00000169750/ENSG00000170962/ENSG00000171608/ENSG00000171862/ENSG00000171914/ENSG00000172531/ENSG00000173511/ENSG00000174292/ENSG00000174775/ENSG00000182533/ENSG00000184009/ENSG00000189056/ENSG00000196569/ENSG00000196924/ENSG00000197122/ENSG00000197702/ENSG00000213949/ENSG00000259207	79
WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA	WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA	31/2274	60/8812	0.516666666666667	2.00214013485781	4.59341621315917	1.5528859598531e-05	0.00218586719985021	0.00206855464854894	ENSG00000010610/ENSG00000011600/ENSG00000028137/ENSG00000066294/ENSG00000077420/ENSG00000104894/ENSG00000104903/ENSG00000106560/ENSG00000106799/ENSG00000110324/ENSG00000110934/ENSG00000111252/ENSG00000115956/ENSG00000116701/ENSG00000123338/ENSG00000125730/ENSG00000126561/ENSG00000140749/ENSG00000155465/ENSG00000159189/ENSG00000160255/ENSG00000163694/ENSG00000169413/ENSG00000169896/ENSG00000170891/ENSG00000174004/ENSG00000175538/ENSG00000178573/ENSG00000180353/ENSG00000184060/ENSG00000188641	31
WP_ADIPOGENESIS	WP_ADIPOGENESIS	56/2274	131/8812	0.427480916030534	1.656535546201	4.46472163749603	1.61517280777109e-05	0.00218586719985021	0.00206855464854894	ENSG00000003137/ENSG00000017427/ENSG00000025434/ENSG00000026103/ENSG00000067082/ENSG00000069667/ENSG00000072310/ENSG00000079435/ENSG00000081189/ENSG00000101255/ENSG00000101412/ENSG00000104918/ENSG00000106483/ENSG00000107404/ENSG00000107485/ENSG00000109819/ENSG00000113580/ENSG00000113594/ENSG00000116016/ENSG00000117318/ENSG00000118263/ENSG00000122691/ENSG00000124212/ENSG00000124253/ENSG00000125845/ENSG00000126561/ENSG00000131759/ENSG00000132170/ENSG00000134324/ENSG00000136244/ENSG00000137309/ENSG00000143171/ENSG00000147872/ENSG00000150907/ENSG00000152377/ENSG00000152785/ENSG00000163884/ENSG00000164330/ENSG00000166819/ENSG00000166949/ENSG00000169692/ENSG00000169884/ENSG00000173757/ENSG00000174697/ENSG00000175445/ENSG00000175745/ENSG00000181092/ENSG00000181856/ENSG00000182636/ENSG00000184557/ENSG00000185559/ENSG00000186951/ENSG00000197766/ENSG00000240972/ENSG00000245848/ENSG00000266524	56
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	23/2274	40/8812	0.575	2.22818821459982	4.59125043516507	2.05389269533496e-05	0.00238251552658856	0.00225464912420229	ENSG00000011600/ENSG00000100365/ENSG00000101336/ENSG00000105647/ENSG00000105851/ENSG00000116701/ENSG00000121879/ENSG00000123338/ENSG00000134215/ENSG00000141968/ENSG00000145675/ENSG00000158517/ENSG00000158869/ENSG00000159189/ENSG00000160255/ENSG00000165168/ENSG00000169750/ENSG00000169896/ENSG00000171608/ENSG00000173369/ENSG00000173372/ENSG00000197943/ENSG00000254087	23
WP_COMPLEMENT_ACTIVATION	WP_COMPLEMENT_ACTIVATION	15/2274	22/8812	0.681818181818182	2.64212041256896	4.54786197078177	3.62139390958017e-05	0.00367571481822387	0.00347844414999148	ENSG00000009724/ENSG00000039537/ENSG00000112936/ENSG00000125730/ENSG00000126759/ENSG00000127241/ENSG00000159189/ENSG00000159403/ENSG00000173369/ENSG00000173372/ENSG00000182326/ENSG00000197766/ENSG00000224389/ENSG00000243649/ENSG00000244731	15
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY	WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY	45/2274	106/8812	0.424528301886792	1.64509384178822	3.94050488232282	0.000129849017667941	0.0117152669273742	0.0110865243155084	ENSG00000000971/ENSG00000003400/ENSG00000009724/ENSG00000026103/ENSG00000039537/ENSG00000068650/ENSG00000072518/ENSG00000073350/ENSG00000085265/ENSG00000087088/ENSG00000092445/ENSG00000092969/ENSG00000102981/ENSG00000109072/ENSG00000112936/ENSG00000114698/ENSG00000116141/ENSG00000118004/ENSG00000125730/ENSG00000126759/ENSG00000126787/ENSG00000127241/ENSG00000140545/ENSG00000143502/ENSG00000149131/ENSG00000153208/ENSG00000159189/ENSG00000159403/ENSG00000160255/ENSG00000167601/ENSG00000169896/ENSG00000171860/ENSG00000173369/ENSG00000173372/ENSG00000180900/ENSG00000182326/ENSG00000184500/ENSG00000197405/ENSG00000197766/ENSG00000203710/ENSG00000205403/ENSG00000224389/ENSG00000243649/ENSG00000244731/ENSG00000259207	45
WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING	WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING	106/2274	302/8812	0.350993377483444	1.36013792541078	3.75571754153976	0.000169614965103311	0.0137727351663889	0.0130335710026755	ENSG00000002330/ENSG00000017427/ENSG00000019991/ENSG00000029559/ENSG00000037280/ENSG00000060718/ENSG00000064300/ENSG00000064547/ENSG00000072310/ENSG00000074211/ENSG00000077943/ENSG00000079435/ENSG00000089250/ENSG00000091136/ENSG00000091409/ENSG00000092020/ENSG00000101280/ENSG00000102678/ENSG00000102755/ENSG00000104365/ENSG00000105568/ENSG00000105647/ENSG00000105851/ENSG00000105976/ENSG00000109072/ENSG00000109819/ENSG00000110799/ENSG00000111713/ENSG00000112769/ENSG00000112964/ENSG00000113296/ENSG00000113578/ENSG00000113721/ENSG00000114268/ENSG00000115904/ENSG00000116016/ENSG00000116147/ENSG00000117020/ENSG00000117394/ENSG00000120156/ENSG00000120332/ENSG00000121879/ENSG00000124440/ENSG00000127920/ENSG00000128052/ENSG00000132356/ENSG00000133056/ENSG00000134853/ENSG00000135424/ENSG00000135862/ENSG00000137713/ENSG00000137809/ENSG00000138685/ENSG00000139679/ENSG00000140285/ENSG00000141506/ENSG00000143578/ENSG00000143590/ENSG00000144668/ENSG00000145623/ENSG00000145675/ENSG00000146592/ENSG00000146648/ENSG00000147145/ENSG00000150093/ENSG00000150630/ENSG00000150907/ENSG00000154188/ENSG00000156475/ENSG00000157404/ENSG00000158571/ENSG00000159110/ENSG00000160255/ENSG00000160712/ENSG00000160867/ENSG00000161638/ENSG00000161958/ENSG00000162188/ENSG00000162434/ENSG00000165197/ENSG00000165699/ENSG00000167965/ENSG00000168243/ENSG00000168477/ENSG00000168685/ENSG00000169242/ENSG00000170525/ENSG00000170962/ENSG00000171608/ENSG00000171862/ENSG00000172354/ENSG00000172380/ENSG00000173511/ENSG00000174775/ENSG00000175634/ENSG00000181856/ENSG00000182578/ENSG00000184371/ENSG00000185291/ENSG00000186469/ENSG00000186895/ENSG00000189056/ENSG00000196468/ENSG00000196569/ENSG00000198121/ENSG00000259207	106
