GeneID	GeneName	log2FC	P.Value	adj.P.Value
ENSG00000000005	TNMD	-8.22242726102546	1.13668300330898e-05	0.000817969577295007
ENSG00000000938	FGR	-3.09305335947002	0.000177035375611977	0.003730563627695
ENSG00000000971	CFH	-4.50283315217709	4.4629040158557e-07	0.000175151272685765
ENSG00000001167	NFYA	1.07584985242592	0.00718186621713033	0.0360551557804157
ENSG00000001617	SEMA3F	1.67887556478988	0.00193895492540181	0.015927129744372
ENSG00000002330	BAD	1.30012657161075	0.0115790665532876	0.0484009460441725
ENSG00000002586	CD99	-1.57287802918364	0.00569697538454142	0.0310538836469202
ENSG00000002587	HS3ST1	-1.42158707361233	0.00953165286784202	0.0429271079574654
ENSG00000003137	CYP26B1	-4.77308001957051	2.93507228596871e-07	0.000156717281622259
ENSG00000003147	ICA1	1.0650029682353	0.00971743138057381	0.0435100405551348
ENSG00000003249	DBNDD1	3.63068873474874	0.000104560164336394	0.00272993670878282
ENSG00000003400	CASP10	-2.46773045973463	0.00220591731769821	0.0171621477910913
ENSG00000003402	CFLAR	-2.3634106835891	0.000189462637466794	0.00390371975947206
ENSG00000004059	ARF5	1.38651702965351	0.00840820882548024	0.0397348935798928
ENSG00000004468	CD38	-2.7530715853908	0.00284003073687701	0.0200056296208786
ENSG00000004478	FKBP4	2.67769261926173	2.42617008418488e-05	0.00121431286096096
ENSG00000004700	RECQL	-1.23119967932546	0.0105254902945469	0.0456621611595265
ENSG00000004776	HSPB6	-5.13915938278596	0.000747705146783719	0.00901063326537389
ENSG00000004799	PDK4	-4.8293994563275	0.000196810670178133	0.00398808759324845
ENSG00000004838	ZMYND10	3.52984382504629	0.00696567588289048	0.035422940395818
ENSG00000004846	ABCB5	-5.93985432215441	0.000214196314929442	0.00418656433725727
ENSG00000004939	SLC4A1	-4.33736545739189	0.00211540761854975	0.0167585560296836
ENSG00000005001	PRSS22	3.85401288704942	0.00287169217440656	0.0201540133443662
ENSG00000005020	SKAP2	-2.75565298761781	0.000420447923215224	0.00630416913371523
ENSG00000005075	POLR2J	1.597425138973	0.00346720471229897	0.0225774655021312
ENSG00000005102	MEOX1	-5.96029231091275	3.76874759413919e-05	0.00156079260278542
ENSG00000005108	THSD7A	-3.88385242418224	6.48527911417549e-05	0.00211824468001412
ENSG00000005156	LIG3	1.50546046049009	0.00514100158959308	0.029120564559608
ENSG00000005206	SPPL2B	1.00198351997562	0.011580990770367	0.0484009460441725
ENSG00000005243	COPZ2	-2.50174879954748	0.00101914535853674	0.0107869730264644
ENSG00000005249	PRKAR2B	-4.12075076347023	0.000384136330240813	0.00600744513928153
ENSG00000005448	WDR54	1.86981065904976	0.00313140819758375	0.0211946530756251
ENSG00000005486	RHBDD2	1.69926319524014	0.000364513985641308	0.00588290358680244
ENSG00000005810	MYCBP2	-2.96546374380972	5.5010004666288e-05	0.00193207776053818
ENSG00000006118	TMEM132A	4.33283158082217	5.99683362028234e-05	0.00201730219403375
ENSG00000006453	BAIAP2L1	2.51165989702667	0.00100750899612503	0.0107142623351361
ENSG00000006459	KDM7A	-1.73739417272019	0.00172893293369772	0.0148739967939026
ENSG00000006468	ETV1	-1.79781198980895	0.00972022584929569	0.0435100405551348
ENSG00000006625	GGCT	1.90275098310011	0.000689063366861099	0.0085568721569871
ENSG00000006704	GTF2IRD1	1.9294187936697	2.7599869859327e-05	0.00131232073513819
ENSG00000007047	MARK4	1.51886756212497	0.00163564139272871	0.0143970215148513
ENSG00000007080	CCDC124	1.60679636159774	0.00850511930107768	0.0400169504698659
ENSG00000007174	DNAH9	-3.36334241396629	0.00945041463308006	0.0427403515278772
ENSG00000007237	GAS7	-4.25412729430436	4.45563769948479e-05	0.00170290662686673
ENSG00000007255	TRAPPC6A	2.21331133575866	1.6219994184724e-05	0.000993290087217093
ENSG00000007314	SCN4A	-6.60300266332968	1.02346831375264e-06	0.000243319750553211
ENSG00000007350	TKTL1	-4.48864297136921	0.000479104327919816	0.00679602924715389
ENSG00000007376	RPUSD1	2.3439010164658	5.31686944127625e-05	0.00189150499187849
ENSG00000007384	RHBDF1	1.15875446304163	0.00305599326107089	0.0208577437156491
ENSG00000007392	LUC7L	1.11710428557021	0.00185912040694698	0.0155083508980311
ENSG00000007402	CACNA2D2	4.02012282503153	0.00290522972361158	0.0202852477265801
ENSG00000007516	BAIAP3	2.52443126247124	0.00644085373341877	0.0336396511531008
ENSG00000007520	TSR3	1.20559697828156	0.00483562989715432	0.0279871135784505
ENSG00000007541	PIGQ	1.97687216863351	7.1861243136121e-05	0.00224509353003595
ENSG00000007933	FMO3	-3.28732715287751	4.20371693857318e-05	0.00165504619914366
ENSG00000007952	NOX1	1.72027550569067	0.00901357520219511	0.0414624459300975
ENSG00000008056	SYN1	3.76282746895271	0.0112067341013312	0.0475261694641424
ENSG00000008118	CAMK1G	5.25734499134799	0.00853260086071719	0.0401108691510018
ENSG00000008256	CYTH3	-2.25979956133378	0.000495129041416425	0.00694388289791328
ENSG00000008283	CYB561	2.16983973969342	5.80306488868611e-05	0.0019927886023995
ENSG00000008300	CELSR3	3.84333514321923	0.000225711652856989	0.00430361650011344
ENSG00000008311	AASS	-2.83101009264676	0.00165238143017178	0.0144901747845288
ENSG00000008323	PLEKHG6	-1.69965955545355	0.00844809660826433	0.0398512301704402
ENSG00000008382	MPND	1.121690308848	0.0046409014105118	0.027223575636731
ENSG00000008735	MAPK8IP2	4.92743810795432	0.00182738123422692	0.0153375591624904
ENSG00000009307	CSDE1	-1.11342353770386	0.00273153969953327	0.0195363954500897
ENSG00000009413	REV3L	-2.49638587070902	0.000400838177222076	0.00613368332157987
ENSG00000009694	TENM1	-5.57542552903969	3.16539441715257e-05	0.00142136277298599
ENSG00000009724	MASP2	-2.26101790219727	0.00327811035063556	0.0218252516076309
ENSG00000009780	FAM76A	-1.02964952635161	0.00956650599290081	0.0430528955559931
ENSG00000009950	MLXIPL	-6.54880956419311	0.000115709667982255	0.00291895544004884
ENSG00000010030	ETV7	1.96886705372425	0.0117458961347579	0.0488835687480037
ENSG00000010282	HHATL	-4.11880122341589	0.00258051504780899	0.0188154628596513
ENSG00000010295	IFFO1	-2.45794507522719	0.000176609196942052	0.003730563627695
ENSG00000010319	SEMA3G	-5.01083126191696	3.26836850876114e-06	0.000466346630079794
ENSG00000010327	STAB1	-2.93342472470625	0.00070710262720979	0.00869817520868442
ENSG00000010361	FUZ	1.02180828781744	0.0078623368019037	0.0381743824722229
ENSG00000010610	CD4	-2.39030980816626	9.65655209013821e-05	0.00262013701046514
ENSG00000010626	LRRC23	1.23213793541579	0.0104301543865306	0.045397130340663
ENSG00000010671	BTK	-2.27950804270993	0.00133476034007921	0.0126671415348572
ENSG00000010810	FYN	-3.32211690565281	1.76237641349694e-06	0.000351409329223482
ENSG00000010932	FMO1	-3.08437724253869	0.00266476993845136	0.019250373842318
ENSG00000011009	LYPLA2	1.65081095156405	0.000995324570121441	0.0106534199117977
ENSG00000011021	CLCN6	-1.48953019298917	0.000753853406268908	0.00903491297624757
ENSG00000011028	MRC2	-1.79418800528497	0.00179035147257919	0.015169981812921
ENSG00000011052	NME1-NME2	2.8348000978371	0.00375568258861464	0.0237349638713532
ENSG00000011243	AKAP8L	1.36515138702423	0.000198616617079701	0.00400227861230287
ENSG00000011332	DPF1	2.52392029884036	0.00567331757865834	0.0309995087585254
ENSG00000011347	SYT7	3.63498800481993	0.00151419841461607	0.0136936926852167
ENSG00000011465	DCN	-5.01068182322268	2.12098631623817e-06	0.000377276163086251
ENSG00000011478	QPCTL	1.75391387795713	0.0021527883488472	0.0169281300866925
ENSG00000011485	PPP5C	1.07695949443749	0.000550469910376979	0.00742113878629815
ENSG00000011523	CEP68	-1.51080032556488	1.83700201118104e-05	0.00104654089231454
ENSG00000011600	TYROBP	-1.69524327721163	0.00708781711905993	0.0357671010071049
ENSG00000012211	PRICKLE3	1.28698924210772	0.0059748529097056	0.0320357709483055
ENSG00000012822	CALCOCO1	-1.35361697053098	0.000732081388327625	0.00889525939803305
ENSG00000013275	PSMC4	1.52951856362656	0.000478503171675708	0.00679551460062141
ENSG00000013297	CLDN11	-2.81294263764921	0.00512998186294392	0.029091468248002
