ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP	WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP	33/955	112/8812	0.294642857142857	2.71873597606582	6.38181870320128	4.50303600604158e-08	3.03954930407807e-05	2.97674380188854e-05	ENSG00000105325/ENSG00000108106/ENSG00000129355/ENSG00000141552/ENSG00000145386/ENSG00000147889/ENSG00000158373/ENSG00000158406/ENSG00000163041/ENSG00000164032/ENSG00000175063/ENSG00000180573/ENSG00000180596/ENSG00000184260/ENSG00000184678/ENSG00000185130/ENSG00000188486/ENSG00000196866/ENSG00000197238/ENSG00000197409/ENSG00000197903/ENSG00000204371/ENSG00000233822/ENSG00000246705/ENSG00000270882/ENSG00000273802/ENSG00000274290/ENSG00000274641/ENSG00000276180/ENSG00000276966/ENSG00000277075/ENSG00000277157/ENSG00000278828	33
WP_GASTRIC_CANCER_NETWORK_1	WP_GASTRIC_CANCER_NETWORK_1	14/955	28/8812	0.5	4.61361256544503	6.67667673780114	2.6159469735355e-07	8.82882103568232e-05	8.64639315463314e-05	ENSG00000087586/ENSG00000088325/ENSG00000101057/ENSG00000104738/ENSG00000114346/ENSG00000117724/ENSG00000131747/ENSG00000136518/ENSG00000163041/ENSG00000163808/ENSG00000163993/ENSG00000164283/ENSG00000175063/ENSG00000175792	14
WP_CELL_CYCLE	WP_CELL_CYCLE	31/955	120/8812	0.258333333333333	2.38369982547993	5.32057488633345	2.71940751358264e-06	0.000611866690556095	0.000599223831063123	ENSG00000073111/ENSG00000085840/ENSG00000091651/ENSG00000093009/ENSG00000094804/ENSG00000101412/ENSG00000104738/ENSG00000105325/ENSG00000110092/ENSG00000112242/ENSG00000112742/ENSG00000117399/ENSG00000127564/ENSG00000129355/ENSG00000132646/ENSG00000133740/ENSG00000134057/ENSG00000134058/ENSG00000135476/ENSG00000141552/ENSG00000145386/ENSG00000147889/ENSG00000149554/ENSG00000154473/ENSG00000157456/ENSG00000158402/ENSG00000164045/ENSG00000164611/ENSG00000166851/ENSG00000169679/ENSG00000170312	31
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	30/955	120/8812	0.25	2.30680628272251	5.0249053740717	8.03376351272661e-06	0.00112772135212367	0.00110441950742092	ENSG00000005156/ENSG00000039650/ENSG00000049541/ENSG00000051180/ENSG00000062822/ENSG00000065057/ENSG00000070501/ENSG00000103152/ENSG00000104884/ENSG00000105486/ENSG00000106628/ENSG00000109674/ENSG00000115392/ENSG00000123415/ENSG00000132646/ENSG00000134058/ENSG00000136492/ENSG00000140525/ENSG00000144554/ENSG00000147400/ENSG00000149554/ENSG00000168496/ENSG00000169188/ENSG00000169689/ENSG00000174371/ENSG00000175279/ENSG00000183161/ENSG00000185504/ENSG00000188486/ENSG00000197275	30
WP_BASE_EXCISION_REPAIR	WP_BASE_EXCISION_REPAIR	13/955	31/8812	0.419354838709677	3.86948150650228	5.57953746758455	8.35349149721239e-06	0.00112772135212367	0.00110441950742092	ENSG00000005156/ENSG00000039650/ENSG00000062822/ENSG00000065057/ENSG00000070501/ENSG00000103152/ENSG00000105486/ENSG00000106628/ENSG00000109674/ENSG00000123415/ENSG00000132646/ENSG00000168496/ENSG00000169188	13
WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM	WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM	21/955	75/8812	0.28	2.58362303664921	4.80161333721941	2.98393478060292e-05	0.0029430175882761	0.00288220669853784	ENSG00000005156/ENSG00000049541/ENSG00000062822/ENSG00000076924/ENSG00000104884/ENSG00000105486/ENSG00000106628/ENSG00000132646/ENSG00000134058/ENSG00000147400/ENSG00000149346/ENSG00000158406/ENSG00000163041/ENSG00000169727/ENSG00000180573/ENSG00000197238/ENSG00000205581/ENSG00000270882/ENSG00000276180/ENSG00000276966/ENSG00000277157	21
WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION	WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION	8/955	14/8812	0.571428571428571	5.27270007479432	5.57776685368509	3.05201823969373e-05	0.0029430175882761	0.00288220669853784	ENSG00000117399/ENSG00000135476/ENSG00000138778/ENSG00000154473/ENSG00000156970/ENSG00000164109/ENSG00000164611/ENSG00000169679	8
WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM	WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM	17/955	55/8812	0.309090909090909	2.85205140409329	4.80333211773622	4.26835394634819e-05	0.00339131028224016	0.00332123642455645	ENSG00000051180/ENSG00000087088/ENSG00000101412/ENSG00000130726/ENSG00000132646/ENSG00000136518/ENSG00000139579/ENSG00000144554/ENSG00000147889/ENSG00000149554/ENSG00000158402/ENSG00000164885/ENSG00000172613/ENSG00000174371/ENSG00000185122/ENSG00000188486/ENSG00000197299	17
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	27/955	112/8812	0.241071428571429	2.22442034405385	4.54638103878486	4.52174704298689e-05	0.00339131028224016	0.00332123642455645	ENSG00000064102/ENSG00000073111/ENSG00000091831/ENSG00000107404/ENSG00000109072/ENSG00000127191/ENSG00000131591/ENSG00000156873/ENSG00000162585/ENSG00000169972/ENSG00000175756/ENSG00000176022/ENSG00000179403/ENSG00000186891/ENSG00000187583/ENSG00000187608/ENSG00000187642/ENSG00000187730/ENSG00000187961/ENSG00000188157/ENSG00000188290/ENSG00000188976/ENSG00000197785/ENSG00000215915/ENSG00000224051/ENSG00000228594/ENSG00000237330	27
WP_RETINOBLASTOMA_GENE_IN_CANCER	WP_RETINOBLASTOMA_GENE_IN_CANCER	23/955	90/8812	0.255555555555556	2.35806864456079	4.51461630368884	6.21829515308017e-05	0.00419734922832912	0.00411062037487826	ENSG00000085840/ENSG00000090889/ENSG00000093009/ENSG00000101412/ENSG00000104738/ENSG00000110092/ENSG00000112242/ENSG00000112742/ENSG00000114115/ENSG00000131747/ENSG00000132646/ENSG00000134057/ENSG00000145386/ENSG00000149554/ENSG00000156711/ENSG00000157456/ENSG00000164032/ENSG00000164045/ENSG00000164104/ENSG00000167513/ENSG00000170312/ENSG00000171848/ENSG00000183155	23
WP_G1_TO_S_CELL_CYCLE_CONTROL	WP_G1_TO_S_CELL_CYCLE_CONTROL	18/955	64/8812	0.28125	2.59515706806283	4.46503597331845	0.000102371977448035	0.00577299400722732	0.00565370797121053	ENSG00000014138/ENSG00000073111/ENSG00000085840/ENSG00000091651/ENSG00000093009/ENSG00000101412/ENSG00000104738/ENSG00000110092/ENSG00000112242/ENSG00000129355/ENSG00000132646/ENSG00000134057/ENSG00000134058/ENSG00000143578/ENSG00000147889/ENSG00000164045/ENSG00000170312/ENSG00000196132	18
WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	21/955	81/8812	0.259259259259259	2.39224355245298	4.38845491022303	0.00010263100457293	0.00577299400722732	0.00565370797121053	ENSG00000051180/ENSG00000070501/ENSG00000073111/ENSG00000093009/ENSG00000101412/ENSG00000111206/ENSG00000130726/ENSG00000132646/ENSG00000136492/ENSG00000140525/ENSG00000144554/ENSG00000149554/ENSG00000158402/ENSG00000160957/ENSG00000166851/ENSG00000168496/ENSG00000170312/ENSG00000172613/ENSG00000174371/ENSG00000188486/ENSG00000198924	21
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	12/955	34/8812	0.352941176470588	3.25666769325531	4.59616055925245	0.000138971217396705	0.00721581321098277	0.00706671453644784	ENSG00000111775/ENSG00000126267/ENSG00000138495/ENSG00000144120/ENSG00000164919/ENSG00000168275/ENSG00000176340/ENSG00000183978/ENSG00000187118/ENSG00000203667/ENSG00000229833/ENSG00000232838	12
WP_DNA_REPLICATION	WP_DNA_REPLICATION	13/955	42/8812	0.30952380952381	2.85604587384692	4.2033878480055	0.000331784764542686	0.0159967654333081	0.0156662279799103	ENSG00000014138/ENSG00000049541/ENSG00000062822/ENSG00000065328/ENSG00000073111/ENSG00000085840/ENSG00000091651/ENSG00000093009/ENSG00000094804/ENSG00000104738/ENSG00000106628/ENSG00000132646/ENSG00000167513	13
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	19/955	76/8812	0.25	2.30680628272251	3.98884910002945	0.000359592632785885	0.0161816684753648	0.0158473104133008	ENSG00000079616/ENSG00000091831/ENSG00000092820/ENSG00000105568/ENSG00000127191/ENSG00000130477/ENSG00000132646/ENSG00000149923/ENSG00000149925/ENSG00000149926/ENSG00000149927/ENSG00000149929/ENSG00000163468/ENSG00000167371/ENSG00000169592/ENSG00000174938/ENSG00000174939/ENSG00000174943/ENSG00000280789	19
WP_OXIDATIVE_PHOSPHORYLATION	WP_OXIDATIVE_PHOSPHORYLATION	16/955	60/8812	0.266666666666667	2.46059336823735	3.9576483668808	0.000476152084190846	0.0200876660518013	0.019672599267885	ENSG00000065518/ENSG00000071553/ENSG00000099624/ENSG00000099795/ENSG00000110717/ENSG00000131495/ENSG00000135390/ENSG00000140990/ENSG00000145494/ENSG00000147684/ENSG00000159199/ENSG00000169020/ENSG00000170906/ENSG00000174886/ENSG00000241468/ENSG00000267855	16
WP_PYRIMIDINE_METABOLISM	WP_PYRIMIDINE_METABOLISM	20/955	84/8812	0.238095238095238	2.19695836449763	3.84279509835211	0.000506576690287945	0.0201140744673155	0.0196984620124353	ENSG00000005075/ENSG00000011052/ENSG00000014138/ENSG00000047230/ENSG00000062822/ENSG00000103024/ENSG00000103202/ENSG00000105258/ENSG00000106628/ENSG00000161980/ENSG00000163882/ENSG00000167900/ENSG00000168393/ENSG00000171453/ENSG00000171793/ENSG00000171848/ENSG00000179958/ENSG00000205309/ENSG00000239672/ENSG00000243678	20
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	23/955	105/8812	0.219047619047619	2.02120169533782	3.66993028427935	0.000711366394287932	0.0266762397857975	0.0261250348311591	ENSG00000065518/ENSG00000099624/ENSG00000099795/ENSG00000110717/ENSG00000111775/ENSG00000126267/ENSG00000130770/ENSG00000131495/ENSG00000135390/ENSG00000138495/ENSG00000140990/ENSG00000145494/ENSG00000147684/ENSG00000159199/ENSG00000164919/ENSG00000169020/ENSG00000170906/ENSG00000174886/ENSG00000176340/ENSG00000184076/ENSG00000186010/ENSG00000241468/ENSG00000267855	23
WP_CHOLESTEROL_SYNTHESIS_DISORDERS	WP_CHOLESTEROL_SYNTHESIS_DISORDERS	7/955	18/8812	0.388888888888889	3.58836532867947	3.83225593549161	0.00186258755107948	0.0652909558568806	0.0639418639814753	ENSG00000052802/ENSG00000104549/ENSG00000110921/ENSG00000116133/ENSG00000147155/ENSG00000163344/ENSG00000172893	7
